payroll_id,employee_id,pay_period,pay_date,basic_salary_sar,housing_allowance_sar,transport_allowance_sar,other_allowances_sar,overtime_hours,overtime_pay_sar,gross_pay_sar,gosi_employee_sar,gosi_employer_sar,absence_deduction_sar,loan_deduction_sar,other_deductions_sar,total_deductions_sar,net_pay_sar,payment_method,currency
PAY-000049,EMP-0057,2025-01,27-01-2025,4550,1138,455,0,23.5,668.28,6811.28,554.58,668.34,0,1250,0,1804.58,5006.7,Bank Transfer,SAR
PAY-000050,EMP-0058,2025-01,27-01-2025,3850,963,385,0,0,0,5198,0,96.26,0,0,0,0,5198,Bank Transfer,SAR
PAY-000051,EMP-0059,2025-01,27-01-2025,9300,2325,930,700,14,813.75,14068.75,0,232.5,837,0,400,1237,12831.75,Bank Transfer,SAR
PAY-000052,EMP-0060,2025-01,27-01-2025,4500,1125,450,0,0,0,6075,548.44,660.94,202.5,0,0,750.94,5324.06,Bank Transfer,SAR
PAY-000053,EMP-0061,2025-01,27-01-2025,4000,1000,400,0,0,0,5400,487.5,587.5,0,0,0,487.5,4912.5,Bank Transfer,SAR
PAY-000054,EMP-0062,2025-01,27-01-2025,4050,1013,405,0,25.5,645.47,6113.47,0,101.26,0,0,0,0,6113.47,Bank Transfer,SAR
PAY-000055,EMP-0064,2025-01,27-01-2025,4600,1150,460,1900,22.5,646.88,8756.88,0,115,0,1950,0,1950,6806.88,Bank Transfer,SAR
PAY-000056,EMP-0065,2025-01,27-01-2025,28650,7163,1200,0,0,0,37013,0,716.26,0,0,0,0,37013,Bank Transfer,SAR
PAY-000057,EMP-0066,2025-01,27-01-2025,3950,988,395,0,0,0,5333,0,98.76,0,0,0,0,5333,Bank Transfer,SAR
PAY-000058,EMP-0067,2025-01,27-01-2025,3450,863,345,0,8,172.5,4830.5,420.52,506.78,0,0,0,420.52,4409.98,Bank Transfer,SAR
PAY-000059,EMP-0068,2025-01,27-01-2025,3750,938,375,0,13.5,316.41,5379.41,0,93.76,0,0,0,0,5379.41,Bank Transfer,SAR
PAY-000060,EMP-0069,2025-01,27-01-2025,25850,6463,1200,1800,0,0,35313,0,646.26,0,1300,0,1300,34013,Bank Transfer,SAR
PAY-000061,EMP-0070,2025-01,27-01-2025,3700,925,370,0,11,254.38,5249.38,0,92.5,0,0,0,0,5249.38,Bank Transfer,SAR
PAY-000062,EMP-0071,2025-01,27-01-2025,7100,1775,710,0,15,665.63,10250.63,0,177.5,0,0,0,0,10250.63,Bank Transfer,SAR
PAY-000063,EMP-0072,2025-01,27-01-2025,4450,1113,445,2150,0,0,8158,0,111.26,0,0,0,0,8158,Bank Transfer,SAR
PAY-000064,EMP-0073,2025-01,27-01-2025,27600,6900,1200,0,0,0,35700,3363.75,4053.75,0,0,0,3363.75,32336.25,Bank Transfer,SAR
PAY-000065,EMP-0074,2025-01,27-01-2025,3300,825,330,0,0,0,4455,402.19,484.69,0,0,0,402.19,4052.81,Bank Transfer,SAR
PAY-000066,EMP-0079,2025-01,27-01-2025,6450,1613,645,0,9.5,382.97,9090.97,786.14,947.4,0,0,0,786.14,8304.83,Bank Transfer,SAR
PAY-000067,EMP-0080,2025-01,27-01-2025,3200,800,320,0,0,0,4320,0,80,0,0,0,0,4320,Bank Transfer,SAR
PAY-000068,EMP-0082,2025-01,27-01-2025,4000,1000,400,0,0,0,5400,0,100,0,0,0,0,5400,Bank Transfer,SAR
PAY-000069,EMP-0083,2025-01,27-01-2025,10200,2550,1020,0,2,127.5,13897.5,0,255,0,0,0,0,13897.5,Bank Transfer,SAR
PAY-000070,EMP-0084,2025-01,27-01-2025,12750,3188,1200,0,0,0,17138,0,318.76,0,0,0,0,17138,Bank Transfer,SAR
PAY-000071,EMP-0085,2025-01,27-01-2025,6100,1525,610,0,13,495.63,8730.63,0,152.5,0,0,120,120,8610.63,Bank Transfer,SAR
PAY-000072,EMP-0086,2025-01,27-01-2025,3550,888,355,0,0,0,4793,0,88.76,0,0,0,0,4793,Bank Transfer,SAR
PAY-000073,EMP-0087,2025-01,27-01-2025,25550,6388,1200,600,0,0,33738,3113.96,3752.71,0,0,0,3113.96,30624.04,Bank Transfer,SAR
PAY-000074,EMP-0088,2025-01,27-01-2025,23950,5988,1200,0,0,0,31138,2918.96,3517.71,0,0,490,3408.96,27729.04,Bank Transfer,SAR
PAY-000075,EMP-0089,2025-01,27-01-2025,20900,5225,1200,0,0,0,27325,0,522.5,3643.33,0,0,3643.33,23681.67,Bank Transfer,SAR
PAY-000076,EMP-0092,2025-01,27-01-2025,4550,1138,455,1450,14.5,412.34,8005.34,554.58,668.34,0,0,0,554.58,7450.76,Bank Transfer,SAR
PAY-000077,EMP-0093,2025-01,27-01-2025,4900,1225,490,0,4,122.5,6737.5,0,122.5,0,0,0,0,6737.5,Bank Transfer,SAR
PAY-000078,EMP-0095,2025-01,27-01-2025,18600,4650,1200,0,8,930,25380,0,465,0,0,0,0,25380,Bank Transfer,SAR
PAY-000079,EMP-0097,2025-01,27-01-2025,5050,1263,505,2050,9.5,299.84,9167.84,0,126.26,0,2400,0,2400,6767.84,Bank Transfer,SAR
PAY-000080,EMP-0098,2025-01,27-01-2025,6350,1588,635,0,13,515.94,9088.94,0,158.76,285.77,0,0,285.77,8803.17,Bank Transfer,SAR
PAY-000081,EMP-0099,2025-01,27-01-2025,11850,2963,1185,0,0,0,15998,1444.27,1740.53,0,0,0,1444.27,14553.73,Bank Transfer,SAR
PAY-000082,EMP-0100,2025-01,27-01-2025,12900,3225,1200,0,0,0,17325,0,322.5,0,0,0,0,17325,Bank Transfer,SAR
PAY-000083,EMP-0101,2025-01,27-01-2025,13000,3250,1200,0,20.5,1665.63,19115.63,1584.38,1909.38,0,0,0,1584.38,17531.25,Bank Transfer,SAR
PAY-000084,EMP-0102,2025-01,27-01-2025,4650,1163,465,0,12.5,363.28,6641.28,566.77,683.03,0,0,0,566.77,6074.51,Bank Transfer,SAR
PAY-000085,EMP-0103,2025-01,27-01-2025,5350,1338,535,0,15,501.56,7724.56,0,133.76,0,0,0,0,7724.56,Bank Transfer,SAR
PAY-000086,EMP-0104,2025-01,27-01-2025,6350,1588,635,1350,22,873.13,10796.13,773.96,932.71,0,0,0,773.96,10022.17,Bank Transfer,SAR
PAY-000087,EMP-0105,2025-01,27-01-2025,21650,5413,1200,0,0,0,28263,2638.64,3179.9,0,0,0,2638.64,25624.36,Bank Transfer,SAR
PAY-000088,EMP-0106,2025-01,27-01-2025,24950,6238,1200,0,0,0,32388,3040.83,3664.59,1079.6,350,0,4470.43,27917.57,Bank Transfer,SAR
PAY-000089,EMP-0107,2025-01,27-01-2025,26350,6588,1200,0,0,0,34138,3211.46,3870.21,0,0,0,3211.46,30926.54,Bank Transfer,SAR
PAY-000090,EMP-0108,2025-01,27-01-2025,6050,1513,605,0,24.5,926.41,9094.41,0,151.26,0,0,120,120,8974.41,Bank Transfer,SAR
PAY-000091,EMP-0112,2025-01,27-01-2025,17550,4388,1200,0,20,2193.75,25331.75,0,438.76,0,0,0,0,25331.75,Bank Transfer,SAR
PAY-000092,EMP-0113,2025-01,27-01-2025,12550,3138,1200,0,17,1333.44,18221.44,1529.58,1843.34,1125.87,0,0,2655.45,15565.99,Bank Transfer,SAR
PAY-000093,EMP-0114,2025-01,27-01-2025,11300,2825,1130,0,3,211.88,15466.88,0,282.5,0,0,0,0,15466.88,Bank Transfer,SAR
PAY-000094,EMP-0116,2025-01,27-01-2025,4550,1138,455,0,0,0,6143,0,113.76,409.53,0,0,409.53,5733.47,Bank Transfer,SAR
PAY-000095,EMP-0117,2025-01,27-01-2025,22450,5613,1200,0,0,0,29263,2736.14,3297.4,1950.87,0,0,4687.01,24575.99,Bank Transfer,SAR
PAY-000096,EMP-0118,2025-01,27-01-2025,18200,4550,1200,0,23,2616.25,26566.25,2218.13,2673.13,0,0,0,2218.13,24348.12,Bank Transfer,SAR
PAY-000097,EMP-0119,2025-01,27-01-2025,5300,1325,530,0,2.5,82.81,7237.81,0,132.5,0,0,0,0,7237.81,Bank Transfer,SAR
PAY-000098,EMP-0120,2025-01,27-01-2025,12250,3063,1200,0,0,0,16513,1493.02,1799.28,550.43,0,0,2043.45,14469.55,Bank Transfer,SAR
PAY-000099,EMP-0121,2025-01,27-01-2025,4700,1175,470,0,20.5,602.19,6947.19,0,117.5,0,0,0,0,6947.19,Bank Transfer,SAR
PAY-000100,EMP-0122,2025-01,27-01-2025,5250,1313,525,0,0,0,7088,0,131.26,0,0,0,0,7088,Bank Transfer,SAR
PAY-000101,EMP-0123,2025-01,27-01-2025,5450,1363,545,0,0,0,7358,664.27,800.53,0,1650,0,2314.27,5043.73,Bank Transfer,SAR
PAY-000102,EMP-0124,2025-01,27-01-2025,28200,7050,1200,0,0,0,36450,3436.88,4141.88,0,850,0,4286.88,32163.12,Bank Transfer,SAR
PAY-000103,EMP-0126,2025-01,27-01-2025,6100,1525,610,0,6.5,247.81,8482.81,0,152.5,0,0,0,0,8482.81,Bank Transfer,SAR
PAY-000104,EMP-0127,2025-01,27-01-2025,9350,2338,935,0,3,175.31,12798.31,0,233.76,0,0,80,80,12718.31,WPS Transfer,SAR
PAY-000105,EMP-0129,2025-01,27-01-2025,4850,1213,485,2350,17.5,530.47,9428.47,591.14,712.4,0,0,0,591.14,8837.33,Bank Transfer,SAR
PAY-000106,EMP-0130,2025-01,27-01-2025,6350,1588,635,0,5.5,218.28,8791.28,0,158.76,0,1750,0,1750,7041.28,Bank Transfer,SAR
PAY-000107,EMP-0131,2025-01,27-01-2025,20750,5188,1200,0,0,0,27138,0,518.76,0,0,0,0,27138,Bank Transfer,SAR
PAY-000108,EMP-0132,2025-01,27-01-2025,5400,1350,540,0,3.5,118.13,7408.13,658.13,793.13,0,0,0,658.13,6750,Bank Transfer,SAR
PAY-000109,EMP-0133,2025-01,27-01-2025,11850,2963,1185,0,15,1110.94,17108.94,0,296.26,0,450,0,450,16658.94,Bank Transfer,SAR
PAY-000110,EMP-0134,2025-01,27-01-2025,4750,1188,475,500,17.5,519.53,7432.53,0,118.76,0,0,0,0,7432.53,Bank Transfer,SAR
PAY-000111,EMP-0135,2025-01,27-01-2025,5700,1425,570,700,11,391.88,8786.88,0,142.5,256.5,1100,0,1356.5,7430.38,Bank Transfer,SAR
PAY-000112,EMP-0136,2025-01,27-01-2025,4850,1213,485,0,0,0,6548,0,121.26,218.27,0,0,218.27,6329.73,Bank Transfer,SAR
PAY-000113,EMP-0137,2025-01,27-01-2025,20100,5025,1200,0,0,0,26325,0,502.5,0,0,0,0,26325,Bank Transfer,SAR
PAY-000114,EMP-0138,2025-01,27-01-2025,17050,4263,1200,0,24.5,2610.78,25123.78,0,426.26,0,0,0,0,25123.78,Bank Transfer,SAR
PAY-000115,EMP-0139,2025-01,27-01-2025,9150,2288,915,0,0,0,12353,0,228.76,0,0,0,0,12353,Bank Transfer,SAR
PAY-000116,EMP-0140,2025-01,27-01-2025,10050,2513,1005,0,0,0,13568,0,251.26,0,0,0,0,13568,WPS Transfer,SAR
PAY-000117,EMP-0141,2025-01,27-01-2025,6000,1500,600,0,0,0,8100,731.25,881.25,0,0,0,731.25,7368.75,WPS Transfer,SAR
PAY-000118,EMP-0142,2025-01,27-01-2025,4900,1225,490,2200,0,0,8815,597.19,719.69,441,0,0,1038.19,7776.81,Bank Transfer,SAR
PAY-000119,EMP-0146,2025-01,27-01-2025,17050,4263,1200,0,9,959.06,23472.06,2078.02,2504.28,0,0,0,2078.02,21394.04,Bank Transfer,SAR
PAY-000120,EMP-0148,2025-01,27-01-2025,20350,5088,1200,0,10,1271.88,27909.88,0,508.76,0,0,0,0,27909.88,Bank Transfer,SAR
PAY-000121,EMP-0149,2025-01,27-01-2025,20200,5050,1200,0,18,2272.5,28722.5,2461.88,2966.88,0,0,0,2461.88,26260.62,Bank Transfer,SAR
PAY-000122,EMP-0150,2025-01,27-01-2025,17050,4263,1200,0,0,0,22513,2078.02,2504.28,0,0,0,2078.02,20434.98,Bank Transfer,SAR
PAY-000123,EMP-0151,2025-01,27-01-2025,16150,4038,1200,0,0,0,21388,1968.33,2372.09,0,0,0,1968.33,19419.67,Bank Transfer,SAR
PAY-000124,EMP-0152,2025-01,27-01-2025,21350,5338,1200,0,0,0,27888,0,533.76,0,0,0,0,27888,Bank Transfer,SAR
PAY-000125,EMP-0153,2025-01,27-01-2025,12500,3125,1200,0,20,1562.5,18387.5,1523.44,1835.94,0,0,0,1523.44,16864.06,Bank Transfer,SAR
PAY-000126,EMP-0155,2025-01,27-01-2025,28050,7013,1200,0,0,0,36263,0,701.26,0,0,0,0,36263,Bank Transfer,SAR
PAY-000127,EMP-0157,2025-01,27-01-2025,11300,2825,1130,0,6,423.75,15678.75,0,282.5,0,0,210,210,15468.75,Bank Transfer,SAR
PAY-000128,EMP-0158,2025-01,27-01-2025,4550,1138,455,0,25.5,725.16,6868.16,0,113.76,0,0,0,0,6868.16,Bank Transfer,SAR
PAY-000129,EMP-0159,2025-01,27-01-2025,4650,1163,465,0,0,0,6278,566.77,683.03,0,0,0,566.77,5711.23,Bank Transfer,SAR
PAY-000130,EMP-0160,2025-01,27-01-2025,6000,1500,600,0,0,0,8100,731.25,881.25,0,1150,0,1881.25,6218.75,Bank Transfer,SAR
PAY-000131,EMP-0161,2025-01,27-01-2025,25100,6275,1200,0,0,0,32575,3059.06,3686.56,1085.83,0,0,4144.89,28430.11,Bank Transfer,SAR
PAY-000132,EMP-0162,2025-01,27-01-2025,10350,2588,1035,0,0,0,13973,0,258.76,0,1400,0,1400,12573,Bank Transfer,SAR
PAY-000133,EMP-0163,2025-01,27-01-2025,3850,963,385,0,19.5,469.22,5667.22,469.27,565.53,0,0,0,469.27,5197.95,Bank Transfer,SAR
PAY-000134,EMP-0164,2025-01,27-01-2025,6250,1563,625,0,16.5,644.53,9082.53,761.77,918.03,0,800,0,1561.77,7520.76,Bank Transfer,SAR
PAY-000135,EMP-0167,2025-01,27-01-2025,3450,863,345,0,3,64.69,4722.69,420.52,506.78,0,0,0,420.52,4302.17,Bank Transfer,SAR
PAY-000136,EMP-0168,2025-01,27-01-2025,11900,2975,1190,0,19.5,1450.31,17515.31,0,297.5,0,0,0,0,17515.31,Bank Transfer,SAR
PAY-000137,EMP-0169,2025-01,27-01-2025,3250,813,325,2050,10,203.13,6641.13,0,81.26,292.53,0,0,292.53,6348.6,Bank Transfer,SAR
PAY-000138,EMP-0170,2025-01,27-01-2025,7550,1888,755,0,19.5,920.16,11113.16,920.21,1108.96,679.53,0,0,1599.74,9513.42,Bank Transfer,SAR
PAY-000139,EMP-0171,2025-01,27-01-2025,8550,2138,855,0,0,0,11543,0,213.76,0,0,0,0,11543,Bank Transfer,SAR
PAY-000140,EMP-0172,2025-01,27-01-2025,7650,1913,765,0,17,812.81,11140.81,932.39,1123.65,0,700,0,1632.39,9508.42,Bank Transfer,SAR
PAY-000141,EMP-0173,2025-01,27-01-2025,8850,2213,885,0,15.5,857.34,12805.34,0,221.26,0,0,540,540,12265.34,Bank Transfer,SAR
PAY-000142,EMP-0174,2025-01,27-01-2025,6300,1575,630,0,21,826.88,9331.88,767.81,925.31,0,0,130,897.81,8434.07,Bank Transfer,SAR
PAY-000143,EMP-0175,2025-01,27-01-2025,4500,1125,450,0,0,0,6075,548.44,660.94,405,0,0,953.44,5121.56,Bank Transfer,SAR
PAY-000144,EMP-0176,2025-01,27-01-2025,6100,1525,610,1350,0,0,9585,743.44,895.94,1098,0,0,1841.44,7743.56,Bank Transfer,SAR
PAY-000145,EMP-0177,2025-01,27-01-2025,4400,1100,440,0,0,0,5940,0,110,0,0,0,0,5940,Bank Transfer,SAR
PAY-000146,EMP-0178,2025-01,27-01-2025,4600,1150,460,0,15.5,445.63,6655.63,560.63,675.63,0,0,0,560.63,6095,Bank Transfer,SAR
PAY-000147,EMP-0179,2025-01,27-01-2025,4750,1188,475,1600,8,237.5,8250.5,578.96,697.71,0,0,0,578.96,7671.54,Bank Transfer,SAR
PAY-000148,EMP-0180,2025-01,27-01-2025,4600,1150,460,0,0,0,6210,0,115,0,0,0,0,6210,Cheque,SAR
PAY-000149,EMP-0182,2025-01,27-01-2025,7450,1863,745,0,0,0,10058,0,186.26,0,1200,310,1510,8548,Bank Transfer,SAR
PAY-000150,EMP-0183,2025-01,27-01-2025,4700,1175,470,0,5,146.88,6491.88,572.81,690.31,0,0,0,572.81,5919.07,Bank Transfer,SAR
PAY-000151,EMP-0184,2025-01,27-01-2025,8900,2225,890,0,20.5,1140.31,13155.31,0,222.5,0,0,0,0,13155.31,Bank Transfer,SAR
PAY-000152,EMP-0186,2025-01,27-01-2025,3250,813,325,0,20,406.25,4794.25,396.14,477.4,0,0,0,396.14,4398.11,Bank Transfer,SAR
PAY-000153,EMP-0187,2025-01,27-01-2025,7150,1788,715,0,0,0,9653,0,178.76,0,0,0,0,9653,Bank Transfer,SAR
PAY-000154,EMP-0188,2025-01,27-01-2025,8550,2138,855,0,0,0,11543,1042.08,1255.84,0,0,0,1042.08,10500.92,Bank Transfer,SAR
PAY-000155,EMP-0189,2025-01,27-01-2025,3450,863,345,0,0,0,4658,0,86.26,0,0,0,0,4658,Bank Transfer,SAR
PAY-000156,EMP-0190,2025-01,27-01-2025,4750,1188,475,0,16.5,489.84,6902.84,0,118.76,641.3,0,0,641.3,6261.54,Bank Transfer,SAR
PAY-000157,EMP-0191,2025-01,27-01-2025,3800,950,380,0,8.5,201.88,5331.88,0,95,0,0,0,0,5331.88,Bank Transfer,SAR
PAY-000158,EMP-0193,2025-01,27-01-2025,3650,913,365,0,23.5,536.09,5464.09,0,91.26,0,2300,0,2300,3164.09,Bank Transfer,SAR
PAY-000159,EMP-0194,2025-01,27-01-2025,4750,1188,475,0,0,0,6413,0,118.76,213.77,400,0,613.77,5799.23,Bank Transfer,SAR
PAY-000160,EMP-0195,2025-01,27-01-2025,6150,1538,615,0,6.5,249.84,8552.84,0,153.76,0,0,0,0,8552.84,WPS Transfer,SAR
PAY-000161,EMP-0196,2025-01,27-01-2025,8550,2138,855,0,0,0,11543,0,213.76,0,0,0,0,11543,Bank Transfer,SAR
PAY-000162,EMP-0197,2025-01,27-01-2025,12000,3000,1200,0,8,600,16800,0,300,0,2200,360,2560,14240,Bank Transfer,SAR
PAY-000163,EMP-0198,2025-01,27-01-2025,3400,850,340,2450,3,63.75,7103.75,0,85,306,0,0,306,6797.75,Bank Transfer,SAR
PAY-000164,EMP-0199,2025-01,27-01-2025,7700,1925,770,800,15,721.88,11916.88,0,192.5,0,0,290,290,11626.88,WPS Transfer,SAR
PAY-000165,EMP-0200,2025-01,27-01-2025,11500,2875,1150,0,13,934.38,16459.38,0,287.5,0,0,0,0,16459.38,Bank Transfer,SAR
PAY-000166,EMP-0201,2025-01,27-01-2025,3700,925,370,0,0,0,4995,0,92.5,0,0,0,0,4995,Bank Transfer,SAR
PAY-000167,EMP-0202,2025-01,27-01-2025,8800,2200,880,0,16,880,12760,1072.5,1292.5,0,0,0,1072.5,11687.5,Bank Transfer,SAR
PAY-000168,EMP-0203,2025-01,27-01-2025,4150,1038,415,0,0,0,5603,505.83,609.59,0,0,0,505.83,5097.17,Bank Transfer,SAR
PAY-000169,EMP-0204,2025-01,27-01-2025,4650,1163,465,500,3,87.19,6865.19,0,116.26,0,1650,0,1650,5215.19,Bank Transfer,SAR
PAY-000170,EMP-0209,2025-01,27-01-2025,3500,875,350,500,12,262.5,5487.5,0,87.5,0,900,0,900,4587.5,Bank Transfer,SAR
PAY-000171,EMP-0210,2025-01,27-01-2025,6850,1713,685,0,0,0,9248,834.89,1006.15,0,0,500,1334.89,7913.11,WPS Transfer,SAR
PAY-000172,EMP-0211,2025-01,27-01-2025,4450,1113,445,800,0,0,6808,0,111.26,0,0,0,0,6808,Bank Transfer,SAR
