attendance_id,employee_id,attendance_month,month_start_date,working_days,days_present,days_absent,annual_leave_days,sick_leave_days,unpaid_leave_days,other_leave_days,total_leave_days,late_arrivals,early_departures,overtime_hours,attendance_rate_pct
ATT-000022,EMP-0028,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,25.5,100
ATT-000023,EMP-0029,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,17.5,100
ATT-000024,EMP-0030,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,14,100
ATT-000025,EMP-0031,2025-01,1/1/2025,22,19,0,3,0,0,0,3,0,0,10.5,86.36
ATT-000026,EMP-0032,2025-01,1/1/2025,22,13,0,9,0,0,0,9,5,0,2.5,59.09
ATT-000027,EMP-0034,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,12,100
ATT-000028,EMP-0035,2025-01,1/1/2025,22,21,1,0,0,0,0,0,6,0,0,95.45
ATT-000029,EMP-0036,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000030,EMP-0037,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,2,18,100
ATT-000031,EMP-0038,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,2,0,100
ATT-000032,EMP-0039,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,1,21.5,100
ATT-000033,EMP-0040,2025-01,1/1/2025,22,19,0,0,3,0,0,3,0,0,0,86.36
ATT-000034,EMP-0041,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,5.5,100
ATT-000035,EMP-0042,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,6,100
ATT-000036,EMP-0043,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,0,0,100
ATT-000037,EMP-0044,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,18.5,100
ATT-000038,EMP-0045,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,15.5,100
ATT-000039,EMP-0046,2025-01,1/1/2025,22,20,0,0,0,2,0,2,0,1,8,90.91
ATT-000040,EMP-0047,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,21,100
ATT-000041,EMP-0048,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,3,0,100
ATT-000042,EMP-0049,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,0,100
ATT-000043,EMP-0050,2025-01,1/1/2025,22,18,0,0,0,4,0,4,0,0,14.5,81.82
ATT-000044,EMP-0051,2025-01,1/1/2025,22,18,0,4,0,0,0,4,0,0,23.5,81.82
ATT-000045,EMP-0052,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,5,100
ATT-000046,EMP-0053,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,12,100
ATT-000047,EMP-0055,2025-01,1/1/2025,22,18,0,4,0,0,0,4,0,0,16.5,81.82
ATT-000048,EMP-0056,2025-01,1/1/2025,22,18,0,4,0,0,0,4,0,0,3,81.82
ATT-000049,EMP-0057,2025-01,1/1/2025,22,18,0,4,0,0,0,4,5,0,23.5,81.82
ATT-000050,EMP-0058,2025-01,1/1/2025,22,22,0,0,0,0,0,0,4,0,0,100
ATT-000051,EMP-0059,2025-01,1/1/2025,22,17,2,0,0,0,3,3,1,2,14,77.27
ATT-000052,EMP-0060,2025-01,1/1/2025,22,21,1,0,0,0,0,0,5,0,0,95.45
ATT-000053,EMP-0061,2025-01,1/1/2025,22,17,0,5,0,0,0,5,5,4,0,77.27
ATT-000054,EMP-0062,2025-01,1/1/2025,22,12,0,10,0,0,0,10,2,0,25.5,54.55
ATT-000055,EMP-0064,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,22.5,100
ATT-000056,EMP-0065,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,0,0,100
ATT-000057,EMP-0066,2025-01,1/1/2025,22,15,0,7,0,0,0,7,0,0,0,68.18
ATT-000058,EMP-0067,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,8,100
ATT-000059,EMP-0068,2025-01,1/1/2025,22,21,0,1,0,0,0,1,0,0,13.5,95.45
ATT-000060,EMP-0069,2025-01,1/1/2025,22,15,0,4,0,0,3,7,0,0,0,68.18
ATT-000061,EMP-0070,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,11,100
ATT-000062,EMP-0071,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,15,100
ATT-000063,EMP-0072,2025-01,1/1/2025,22,20,0,0,0,0,2,2,3,0,0,90.91
ATT-000064,EMP-0073,2025-01,1/1/2025,22,19,0,0,0,0,3,3,6,4,0,86.36
ATT-000065,EMP-0074,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,2,0,100
ATT-000066,EMP-0079,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,0,9.5,100
ATT-000067,EMP-0080,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000068,EMP-0082,2025-01,1/1/2025,22,18,0,0,2,0,2,4,0,0,0,81.82
ATT-000069,EMP-0083,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,2,100
ATT-000070,EMP-0084,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000071,EMP-0085,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,2,13,100
ATT-000072,EMP-0086,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000073,EMP-0087,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000074,EMP-0088,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,0,0,100
ATT-000075,EMP-0089,2025-01,1/1/2025,22,18,0,0,0,4,0,4,2,1,0,81.82
ATT-000076,EMP-0092,2025-01,1/1/2025,22,21,0,0,0,0,1,1,2,0,14.5,95.45
ATT-000077,EMP-0093,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,4,100
ATT-000078,EMP-0095,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,8,100
ATT-000079,EMP-0097,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,9.5,100
ATT-000080,EMP-0098,2025-01,1/1/2025,22,21,1,0,0,0,0,0,1,0,13,95.45
ATT-000081,EMP-0099,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,3,0,100
ATT-000082,EMP-0100,2025-01,1/1/2025,22,20,0,0,2,0,0,2,0,0,0,90.91
ATT-000083,EMP-0101,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,20.5,100
ATT-000084,EMP-0102,2025-01,1/1/2025,22,22,0,0,0,0,0,0,4,0,12.5,100
ATT-000085,EMP-0103,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,1,15,100
ATT-000086,EMP-0104,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,0,22,100
ATT-000087,EMP-0105,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,0,0,100
ATT-000088,EMP-0106,2025-01,1/1/2025,22,21,1,0,0,0,0,0,0,0,0,95.45
ATT-000089,EMP-0107,2025-01,1/1/2025,22,19,0,2,0,0,1,3,3,0,0,86.36
ATT-000090,EMP-0108,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,24.5,100
ATT-000091,EMP-0112,2025-01,1/1/2025,22,22,0,0,0,0,0,0,4,2,20,100
ATT-000092,EMP-0113,2025-01,1/1/2025,22,20,0,0,0,2,0,2,0,0,17,90.91
ATT-000093,EMP-0114,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,3,100
ATT-000094,EMP-0116,2025-01,1/1/2025,22,20,2,0,0,0,0,0,1,0,0,90.91
ATT-000095,EMP-0117,2025-01,1/1/2025,22,20,0,0,0,2,0,2,0,0,0,90.91
ATT-000096,EMP-0118,2025-01,1/1/2025,22,19,0,0,3,0,0,3,1,2,23,86.36
ATT-000097,EMP-0119,2025-01,1/1/2025,22,21,0,0,1,0,0,1,0,0,2.5,95.45
ATT-000098,EMP-0120,2025-01,1/1/2025,22,16,1,4,1,0,0,5,3,0,0,72.73
ATT-000099,EMP-0121,2025-01,1/1/2025,22,12,0,9,0,0,1,10,0,4,20.5,54.55
ATT-000100,EMP-0122,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,2,0,100
ATT-000101,EMP-0123,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000102,EMP-0124,2025-01,1/1/2025,22,19,0,3,0,0,0,3,6,0,0,86.36
ATT-000103,EMP-0126,2025-01,1/1/2025,22,15,0,7,0,0,0,7,2,0,6.5,68.18
ATT-000104,EMP-0127,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,1,3,100
ATT-000105,EMP-0129,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,17.5,100
ATT-000106,EMP-0130,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,0,5.5,100
ATT-000107,EMP-0131,2025-01,1/1/2025,22,20,0,0,2,0,0,2,0,0,0,90.91
ATT-000108,EMP-0132,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,3.5,100
ATT-000109,EMP-0133,2025-01,1/1/2025,22,20,0,0,2,0,0,2,0,0,15,90.91
ATT-000110,EMP-0134,2025-01,1/1/2025,22,19,0,3,0,0,0,3,0,0,17.5,86.36
ATT-000111,EMP-0135,2025-01,1/1/2025,22,19,1,2,0,0,0,2,6,0,11,86.36
ATT-000112,EMP-0136,2025-01,1/1/2025,22,21,1,0,0,0,0,0,0,0,0,95.45
ATT-000113,EMP-0137,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,0,0,100
ATT-000114,EMP-0138,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,24.5,100
ATT-000115,EMP-0139,2025-01,1/1/2025,22,20,0,0,0,0,2,2,0,3,0,90.91
ATT-000116,EMP-0140,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000117,EMP-0141,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000118,EMP-0142,2025-01,1/1/2025,22,20,2,0,0,0,0,0,0,0,0,90.91
ATT-000119,EMP-0146,2025-01,1/1/2025,22,21,0,0,0,0,1,1,6,0,9,95.45
ATT-000120,EMP-0148,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,10,100
ATT-000121,EMP-0149,2025-01,1/1/2025,22,14,0,8,0,0,0,8,0,0,18,63.64
ATT-000122,EMP-0150,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,0,100
ATT-000123,EMP-0151,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000124,EMP-0152,2025-01,1/1/2025,22,22,0,0,0,0,0,0,4,0,0,100
ATT-000125,EMP-0153,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,20,100
ATT-000126,EMP-0155,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,0,100
ATT-000127,EMP-0157,2025-01,1/1/2025,22,18,0,4,0,0,0,4,0,0,6,81.82
ATT-000128,EMP-0158,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,0,25.5,100
ATT-000129,EMP-0159,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,0,100
ATT-000130,EMP-0160,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,4,0,100
ATT-000131,EMP-0161,2025-01,1/1/2025,22,21,1,0,0,0,0,0,0,0,0,95.45
ATT-000132,EMP-0162,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,0,100
ATT-000133,EMP-0163,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,19.5,100
ATT-000134,EMP-0164,2025-01,1/1/2025,22,22,0,0,0,0,0,0,4,0,16.5,100
ATT-000135,EMP-0167,2025-01,1/1/2025,22,20,0,0,2,0,0,2,5,0,3,90.91
ATT-000136,EMP-0168,2025-01,1/1/2025,22,21,0,0,1,0,0,1,6,4,19.5,95.45
ATT-000137,EMP-0169,2025-01,1/1/2025,22,20,2,0,0,0,0,0,0,0,10,90.91
ATT-000138,EMP-0170,2025-01,1/1/2025,22,20,2,0,0,0,0,0,0,1,19.5,90.91
ATT-000139,EMP-0171,2025-01,1/1/2025,22,22,0,0,0,0,0,0,4,0,0,100
ATT-000140,EMP-0172,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,17,100
ATT-000141,EMP-0173,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,2,15.5,100
ATT-000142,EMP-0174,2025-01,1/1/2025,22,19,0,0,3,0,0,3,0,3,21,86.36
ATT-000143,EMP-0175,2025-01,1/1/2025,22,20,2,0,0,0,0,0,0,0,0,90.91
ATT-000144,EMP-0176,2025-01,1/1/2025,22,13,0,5,0,4,0,9,2,0,0,59.09
ATT-000145,EMP-0177,2025-01,1/1/2025,22,14,0,8,0,0,0,8,0,0,0,63.64
ATT-000146,EMP-0178,2025-01,1/1/2025,22,16,0,6,0,0,0,6,0,0,15.5,72.73
ATT-000147,EMP-0179,2025-01,1/1/2025,22,21,0,0,0,0,1,1,0,1,8,95.45
ATT-000148,EMP-0180,2025-01,1/1/2025,22,17,0,5,0,0,0,5,6,4,0,77.27
ATT-000149,EMP-0182,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000150,EMP-0183,2025-01,1/1/2025,22,16,0,3,3,0,0,6,6,2,5,72.73
ATT-000151,EMP-0184,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,20.5,100
ATT-000152,EMP-0186,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,20,100
ATT-000153,EMP-0187,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000154,EMP-0188,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,0,100
ATT-000155,EMP-0189,2025-01,1/1/2025,22,21,0,0,1,0,0,1,0,0,0,95.45
ATT-000156,EMP-0190,2025-01,1/1/2025,22,16,0,0,3,3,0,6,0,0,16.5,72.73
ATT-000157,EMP-0191,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,8.5,100
ATT-000158,EMP-0193,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,23.5,100
ATT-000159,EMP-0194,2025-01,1/1/2025,22,18,1,3,0,0,0,3,0,0,0,81.82
ATT-000160,EMP-0195,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,6.5,100
ATT-000161,EMP-0196,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000162,EMP-0197,2025-01,1/1/2025,22,14,0,8,0,0,0,8,0,0,8,63.64
ATT-000163,EMP-0198,2025-01,1/1/2025,22,20,2,0,0,0,0,0,0,0,3,90.91
ATT-000164,EMP-0199,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,3,15,100
ATT-000165,EMP-0200,2025-01,1/1/2025,22,19,0,3,0,0,0,3,0,0,13,86.36
ATT-000166,EMP-0201,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,0,100
ATT-000167,EMP-0202,2025-01,1/1/2025,22,21,0,0,0,0,1,1,4,0,16,95.45
ATT-000168,EMP-0203,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000169,EMP-0204,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,3,100
ATT-000170,EMP-0209,2025-01,1/1/2025,22,22,0,0,0,0,0,0,4,0,12,100
ATT-000171,EMP-0210,2025-01,1/1/2025,22,19,0,0,0,0,3,3,0,0,0,86.36
ATT-000172,EMP-0211,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000173,EMP-0212,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000174,EMP-0213,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,13.5,100
ATT-000175,EMP-0214,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,4,9.5,100
ATT-000176,EMP-0215,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,24,100
ATT-000177,EMP-0216,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,4,100
ATT-000178,EMP-0217,2025-01,1/1/2025,22,20,0,0,0,0,2,2,0,0,4.5,90.91
ATT-000179,EMP-0219,2025-01,1/1/2025,22,20,0,0,2,0,0,2,0,0,19.5,90.91
ATT-000180,EMP-0220,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,15,100
ATT-000181,EMP-0221,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000182,EMP-0222,2025-01,1/1/2025,22,18,0,0,0,4,0,4,0,0,18,81.82
ATT-000183,EMP-0223,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000184,EMP-0226,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,9.5,100
ATT-000185,EMP-0227,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,21.5,100
ATT-000186,EMP-0228,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,4,20,100
ATT-000187,EMP-0229,2025-01,1/1/2025,22,18,0,4,0,0,0,4,0,0,3.5,81.82
ATT-000188,EMP-0231,2025-01,1/1/2025,22,21,0,0,0,0,1,1,0,0,21.5,95.45
ATT-000189,EMP-0232,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,4,0,100
ATT-000190,EMP-0235,2025-01,1/1/2025,22,20,0,0,2,0,0,2,1,3,10,90.91
ATT-000191,EMP-0236,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000192,EMP-0237,2025-01,1/1/2025,22,20,0,2,0,0,0,2,1,3,21.5,90.91
ATT-000193,EMP-0238,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000194,EMP-0239,2025-01,1/1/2025,22,20,0,0,2,0,0,2,3,0,19,90.91
ATT-000195,EMP-0240,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,5,100
ATT-000196,EMP-0241,2025-01,1/1/2025,22,21,0,0,1,0,0,1,5,0,4,95.45
ATT-000197,EMP-0242,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,21,100
ATT-000198,EMP-0243,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,19,100
ATT-000199,EMP-0244,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,5,100
ATT-000200,EMP-0245,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,3,15.5,100
ATT-000201,EMP-0246,2025-01,1/1/2025,22,21,0,1,0,0,0,1,0,0,0,95.45
ATT-000202,EMP-0247,2025-01,1/1/2025,22,19,1,0,0,0,2,2,0,0,20.5,86.36
ATT-000203,EMP-0248,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,8,100
ATT-000204,EMP-0250,2025-01,1/1/2025,22,21,1,0,0,0,0,0,0,0,19,95.45
ATT-000205,EMP-0252,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,15,100
ATT-000206,EMP-0254,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,0,100
ATT-000207,EMP-0256,2025-01,1/1/2025,22,21,0,0,1,0,0,1,0,4,0,95.45
ATT-000208,EMP-0257,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,3,13,100
ATT-000209,EMP-0258,2025-01,1/1/2025,22,19,0,3,0,0,0,3,0,0,11.5,86.36
ATT-000210,EMP-0260,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,0,100
ATT-000211,EMP-0261,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,24,100
ATT-000212,EMP-0262,2025-01,1/1/2025,22,21,1,0,0,0,0,0,0,2,5.5,95.45
ATT-000213,EMP-0263,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000214,EMP-0264,2025-01,1/1/2025,22,21,0,0,0,1,0,1,0,0,0,95.45
ATT-000215,EMP-0265,2025-01,1/1/2025,22,18,0,4,0,0,0,4,0,0,0,81.82
ATT-000216,EMP-0266,2025-01,1/1/2025,22,14,0,8,0,0,0,8,4,0,24,63.64
ATT-000217,EMP-0267,2025-01,1/1/2025,22,20,0,0,2,0,0,2,2,0,22.5,90.91
ATT-000218,EMP-0268,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,1,12.5,100
ATT-000219,EMP-0269,2025-01,1/1/2025,22,20,2,0,0,0,0,0,6,0,0,90.91
ATT-000220,EMP-0272,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,24.5,100
ATT-000221,EMP-0273,2025-01,1/1/2025,22,14,0,8,0,0,0,8,0,4,10,63.64
ATT-000222,EMP-0274,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,1,22,100
ATT-000223,EMP-0275,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,22.5,100
ATT-000224,EMP-0277,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,2,0,100
ATT-000225,EMP-0278,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000226,EMP-0279,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,17,100
ATT-000227,EMP-0280,2025-01,1/1/2025,22,20,0,0,0,2,0,2,0,0,5.5,90.91
ATT-000228,EMP-0281,2025-01,1/1/2025,22,19,0,0,0,3,0,3,0,2,21,86.36
ATT-000229,EMP-0282,2025-01,1/1/2025,22,21,0,0,0,1,0,1,0,4,12.5,95.45
ATT-000230,EMP-0283,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,0,100
ATT-000231,EMP-0286,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,3,0,100
ATT-000232,EMP-0287,2025-01,1/1/2025,22,21,1,0,0,0,0,0,5,2,0,95.45
ATT-000233,EMP-0288,2025-01,1/1/2025,22,17,0,5,0,0,0,5,0,1,0,77.27
ATT-000234,EMP-0289,2025-01,1/1/2025,22,19,0,3,0,0,0,3,6,4,5.5,86.36
ATT-000235,EMP-0291,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000236,EMP-0292,2025-01,1/1/2025,22,21,1,0,0,0,0,0,0,0,2,95.45
ATT-000237,EMP-0293,2025-01,1/1/2025,22,19,0,3,0,0,0,3,0,0,0,86.36
ATT-000238,EMP-0294,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000239,EMP-0295,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,18.5,100
ATT-000240,EMP-0296,2025-01,1/1/2025,22,16,0,6,0,0,0,6,3,0,14.5,72.73
ATT-000241,EMP-0297,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000242,EMP-0300,2025-01,1/1/2025,22,21,0,0,1,0,0,1,0,0,18.5,95.45
ATT-000243,EMP-0303,2025-01,1/1/2025,22,15,1,6,0,0,0,6,0,1,6,68.18
ATT-000244,EMP-0304,2025-01,1/1/2025,22,21,0,0,1,0,0,1,0,0,6,95.45
ATT-000245,EMP-0305,2025-01,1/1/2025,22,21,1,0,0,0,0,0,0,0,0,95.45
ATT-000246,EMP-0306,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,0,6.5,100
ATT-000247,EMP-0307,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,0,100
ATT-000248,EMP-0308,2025-01,1/1/2025,22,20,0,0,0,0,2,2,5,2,0,90.91
ATT-000249,EMP-0309,2025-01,1/1/2025,22,12,0,10,0,0,0,10,0,3,6,54.55
ATT-000250,EMP-0311,2025-01,1/1/2025,22,15,0,7,0,0,0,7,0,0,22.5,68.18
ATT-000251,EMP-0312,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,1,5,100
ATT-000252,EMP-0313,2025-01,1/1/2025,22,18,0,0,0,4,0,4,2,0,0,81.82
ATT-000253,EMP-0314,2025-01,1/1/2025,22,20,0,2,0,0,0,2,0,0,2,90.91
ATT-000254,EMP-0315,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,2,0,100
ATT-000255,EMP-0316,2025-01,1/1/2025,22,10,1,9,0,2,0,11,0,0,0,45.45
ATT-000256,EMP-0318,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,13.5,100
ATT-000257,EMP-0320,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,1,0,100
ATT-000258,EMP-0321,2025-01,1/1/2025,22,17,0,5,0,0,0,5,0,0,0,77.27
ATT-000259,EMP-0322,2025-01,1/1/2025,22,20,0,2,0,0,0,2,3,0,0,90.91
ATT-000260,EMP-0324,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,5,100
ATT-000261,EMP-0325,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,4,100
ATT-000262,EMP-0326,2025-01,1/1/2025,22,21,0,0,1,0,0,1,2,4,9,95.45
ATT-000263,EMP-0327,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,25.5,100
ATT-000264,EMP-0328,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,20.5,100
ATT-000265,EMP-0329,2025-01,1/1/2025,22,14,0,8,0,0,0,8,0,4,0,63.64
ATT-000266,EMP-0331,2025-01,1/1/2025,22,16,0,6,0,0,0,6,6,0,3.5,72.73
ATT-000267,EMP-0332,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,0,15,100
ATT-000268,EMP-0333,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,3,0,100
